territorycode,netivcamt,standardized
East,38.03,-0.30748776
East,38.04,-0.307484952
East,38.1,-0.3074681
East,38.17,-0.30744844
East,38.2,-0.307440014
East,38.25,-0.307425971
East,38.3,-0.307411928
East,38.36,-0.307395076
East,38.4,-0.307383842
East,38.5,-0.307355756
East,38.51,-0.307352947
East,38.6,-0.30732767
East,38.61,-0.307324861
East,38.7,-0.307299584
East,38.8,-0.307271497
East,38.85,-0.307257454
East,38.9,-0.307243411
East,38.99,-0.307218134
East,39,-0.307215325
East,39.05,-0.307201282
East,39.2,-0.307159153
East,39.29,-0.307133876
East,39.3,-0.307131067
East,39.38,-0.307108598
East,39.4,-0.307102981
East,39.48,-0.307080512
East,39.52,-0.307069278
East,39.6,-0.307046809
East,39.68,-0.30702434
East,39.7,-0.307018723
East,39.8,-0.306990637
East,39.88,-0.306968168
East,39.9,-0.30696255
East,39.93,-0.306954125
East,40,-0.306934464
East,40.02,-0.306928847
East,40.04,-0.30692323
East,40.08,-0.306911995
East,40.1,-0.306906378
East,40.17,-0.306886718
East,40.2,-0.306878292
East,40.3,-0.306850206
East,40.32,-0.306844589
East,40.34,-0.306838972
East,40.4,-0.30682212
East,40.46,-0.306805268
East,40.47,-0.30680246
East,40.5,-0.306794034
East,40.55,-0.306779991
East,40.7,-0.306737862
East,40.8,-0.306709776
East,40.92,-0.306676072
East,40.95,-0.306667646
East,40.96,-0.306664838
East,41,-0.306653603
East,41.1,-0.306625517
East,41.2,-0.306597431
East,41.25,-0.306583388
East,41.38,-0.306546876
East,41.4,-0.306541259
East,41.42,-0.306535642
East,41.5,-0.306513173
East,41.58,-0.306490704
East,41.6,-0.306485087
East,41.64,-0.306473852
East,41.68,-0.306462618
East,41.69,-0.306459809
East,41.79,-0.306431723
East,41.8,-0.306428915
East,41.83,-0.306420489
East,41.9,-0.306400829
East,42,-0.306372743
East,42.02,-0.306367125
East,42.13,-0.306336231
East,42.16,-0.306327805
East,42.2,-0.30631657
East,42.24,-0.306305336
East,42.3,-0.306288484
East,42.32,-0.306282867
East,42.4,-0.306260398
East,42.46,-0.306243547
East,42.48,-0.306237929
East,42.5,-0.306232312
East,42.57,-0.306212652
East,42.6,-0.306204226
East,42.64,-0.306192992
East,42.72,-0.306170523
East,42.8,-0.306148054
East,42.84,-0.306136819
East,42.9,-0.306119968
East,43,-0.306091882
East,43.02,-0.306086264
East,43.03,-0.306083456
East,43.05,-0.306077839
East,43.08,-0.306069413
East,43.1,-0.306063796
East,43.2,-0.306035709
East,43.25,-0.306021666
East,43.3,-0.306007623
East,43.35,-0.30599358
East,43.48,-0.305957068
East,43.5,-0.305951451
East,43.56,-0.3059346
East,43.66,-0.305906513
East,43.77,-0.305875619
East,43.78,-0.30587281
East,43.8,-0.305867193
East,43.84,-0.305855958
East,43.9,-0.305839107
East,44,-0.305811021
East,44.08,-0.305788552
East,44.1,-0.305782935
East,44.2,-0.305754849
East,44.22,-0.305749231
East,44.26,-0.305737997
East,44.32,-0.305721145
East,44.36,-0.305709911
East,44.4,-0.305698676
East,44.5,-0.30567059
East,44.52,-0.305664973
East,44.6,-0.305642504
East,44.66,-0.305625653
East,44.7,-0.305614418
East,44.74,-0.305603184
East,44.85,-0.305572289
East,44.9,-0.305558246
East,45,-0.30553016
East,45.1,-0.305502074
East,45.16,-0.305485222
East,45.2,-0.305473988
East,45.26,-0.305457136
East,45.28,-0.305451519
East,45.3,-0.305445902
